id,jobs,firms,salary,nums0
234,IC验证工程师,顺卓微电子（西安）有限公司,1-1.5万/月,1
235,算法工程师,杭州英歌智达科技有限公司,1-2.5万/月,3
236,系统测试工程师,西安中科创星科技孵化器有限公司,0.6-1万/月,1
237,高级运维工程师,中国电信集团系统集成有限责任公司西安区域中心,0.7-1万/月,3
238,大数据开发工程师,深圳市易流科技股份有限公司,1.5-2.5万/月,1
239,软件测试工程师,西安冠群信息技术有限公司,0.7-1.1万/月,若干
240,嵌入式开发工程师/高级工程师,大连华信计算机技术股份有限公司,0.8-1.5万/月,10
241,人工智能开发工程师可定岗实习,陕西众信超达科技有限公司,4.5-6千/月,若干
242,大数据开发工程师,西安宏源视讯设备有限责任公司,0.5-1万/月,1
243,Java高级开发工程师,西安绅聚智芯电子科技有限公司,1-1.5万/月,若干
244,大数据开发工程师（西安）,杭州数云信息技术有限公司,1.5-2万/月,5
245,初级C++研发工程师,西安四维图新信息技术有限公司,6-8千/月,2
246,大数据高级工程师,蜀海（北京）供应链管理有限责任公司,1-1.5万/月,1
247,自然语言分析师,西安极数宝数据服务有限公司,1-1.5万/月,1
248,软件测试工程师（APP测试）,陕西家护帮网络科技有限公司,6-9千/月,若干
249,服务器存储工程师（西安）(J10173),北京奕斯伟科技有限公司,1-2万/月,1
250,高级C++/软件开发工程师,陕西恒通智能机器有限公司,1-2万/月,2
251,运维工程师,陕旅集团骏途旅游网,0.4-1万/月,2
252,Java开发工程师,陕西秦林商务信息咨询有限公司,0.8-1万/月,2
253,VR 相关算法工程师 高级软件工程师,西安灵境科技有限公司,8-20万/年,2
254,大数据开发工程师,西安合�N网络科技有限公司,1-1.5万/月,若干
255,算法工程师,华扬联众数字技术股份有限公司,1.5-3.5万/月,若干
256,系统运维工程师,西安葡萄城信息技术有限公司,0.7-1.2万/月,若干
257,2019校园招聘-项目支持工程师,深圳市茁壮网络股份有限公司,8-10万/年,20
258,高级测试工程师,裕日软件有限公司,0.6-1.2万/月,3
259,GIS开发工程师,西安山脉科技发展有限公司,0.8-1万/月,2
260,高级软件测试工程师,西安盛恒智业物联网科技有限公司,0.6-1.5万/月,若干
261,Web前端开发工程师,西安瑞特森信息科技有限公司,0.5-1万/月,2
262,识别算法工程师,西安鼎力信息技术有限责任公司,0.7-1.2万/月,2
263,00076-软件测试工程师,上海京颐科技股份有限公司,0.6-1万/月,1
264,高级web后端工程师,北京轩宇信息技术有限公司,0.6-1.2万/月,3
265,外卖数据分析员,陕西泰合信息科技有限公司,3-4.5千/月,1
266,云平台开发工程师,研华（中国）有限公司,6-8千/月,2
267,技术构架师   兼项目经理,旅拍通科技有限公司,0.8-1万/月,1
268,大数据开发工程师,万达信息股份有限公司,1.5-2万/月,若干
269,生物信息工程师,西安中科茵康莱医学检验有限公司,5-8.5千/月,若干
270,JAVA开发工程师,西安海润通信技术有限公司,0.7-1.4万/月,3
271,软件开发软件测试工程师,沈阳亚诗达科技有限公司,0.6-1万/月,若干
272,C++高级开发工程师 25k-35k [全国招],微特莱斯科技（深圳）有限公司,2.5-3万/月,5
273,大数据算法工程师,西安思坦仪器股份有限公司,0.8-1.5万/月,1
274,实施工程师（西安） (MJ000051),北京推想科技有限公司,0.5-1万/月,1
275,系统运维工程师,北京神州商通网络科技有限公司,0.5-1万/月,5
276,新东方X创造力学院代码编程老师,西安新东方学校,5-8千/月,2
277,测试工程师,中寰卫星导航通信有限公司,0.6-1.2万/月,1
278,渗透测试工程师,西安交大捷普网络科技有限公司,0.6-1万/月,2
279,数据分析师,河南正华电讯有限公司西安分公司,3.5-6千/月,2
280,云业务架构师,西安诺嘉信息科技有限公司,2.5-3万/月,2
281,大数据工程师,南京嘉环科技有限公司,0.8-2万/月,若干
282,PHP高级开发工程师,陕西远洋科技实业有限责任公司,0.8-1万/月,若干
283,大数据开发工程师,陕西海默油田服务有限公司,6-8千/月,1
284,人工智能讲师,西安软件服务外包学院,0.8-1万/月,2
285,算法工程师,上海艾飞能源科技有限公司,0.6-1.2万/月,2
286,软件测试工程师,西安易流物联科技有限公司,0.5-1万/月,2
287,后端研发工程师(职位编号：003),西安速度时空大数据科技有限公司,1-1.5万/月,若干
288,人工智能工程师,北京中电普华信息技术有限公司,1-1.5万/月,2
289,软件工程师(职位编号：3),西安伟伦实业发展有限公司,0.8-1.2万/月,3
290,Web前端开发工程师,西安可视可觉网络科技有限公司,0.8-1万/月,若干
291,软件工程师,西安铂力特增材技术股份有限公司,1-1.5万/月,3
292,爬虫开发工程师,陕西运�Z网络科技有限公司,1-1.5万/月,2
293,产品技术研发总监,上海汉得信息技术股份有限公司,1.6-2.1万/月,若干
294,大数据开发工程师,北京华洋宏软件开发有限责任公司,1-2万/月,3
295,linux运维/自动化运维工程师,深圳市强能盛贸易有限公司,1-3.5万/月,5
296,网络信息安全工程师,陕西智汇堂文化信息科技有限公司,1.5-2万/月,3
297,00037-测试工程师（政企事业中心）,上海趣医网络技术服务有限公司,0.8-1万/月,1
298,JAVA大数据分析工程师,深圳优克云联科技有限公司,0.8-3万/月,3
299,高级算法工程师（硅谷技术）,西安咏圣达电子科技有限公司,1-1.5万/月,若干
300,数据挖掘分析/机器学习实习生,深圳市长亮科技股份有限公司,3-4千/月,10
301,大数据开发工程师,上海思伟软件有限公司,1-3万/月,若干
302,运维工程师,上海科箭软件科技有限公司,0.7-1万/月,若干
303,高级Web前端,西安丝路智慧旅游科技有限公司,0.8-1万/月,1
304,软件配置工程师,西安闻泰电子科技有限公司,1-1.8万/月,若干
305,组件验证工程师,矽昆微电子（上海）有限公司,0.8-1.5万/月,10
306,Java开发工程师,陕西智诚合创科技股份有限公司,4-6千/月,1
307,模型工程师(职位编号：00040),数尊信息科技（上海）有限公司,0.6-1.5万/月,1
308,渲染TD,西咸新区秦汉新城新丝路数字文化科技有限公司,0.8-1.5万/月,1
309,策略咨询顾问,中科聚信信息技术（北京）有限公司,1.5-2万/月,若干
310,C/C++ 软件工程师,北京优炫软件股份有限公司,0.8-1.2万/月,4
311,算法开发工程师(算法)(职位编号：uniview001177),浙江宇视科技有限公司,1-1.5万/月,1
312,研究院负责人,陕西英铂投资管理有限公司,3-4万/月,1
313,数据分析-大数据建模及分析(002696)(职位编号：cmos002696),中移在线服务有限公司,0.8-1万/月,1
314,高级测试工程师,南京绛门信息科技股份有限公司,0.8-1万/月,2
315,手机fota研发工程师(001487)(职位编号：ThunderSoft001487),中科创达新产品事业部,1-1.5万/月,5
316,5G工程生产力高级工程师,中兴通讯股份有限公司,1-1.5万/月,若干
317,数据工程师（LT13whx）,北京东方国信科技股份有限公司,0.5-1万/月,2
318,软件工程师,西安中科创星科学传播发展有限责任公司,0.8-1.2万/月,1
319,软件测试实习生,龙尚科技（上海）有限公司,2-3千/月,若干
320,Android Framework及系统工程师,西安安谷运合软件技术有限公司,0.7-1.4万/月,4
321,算法工程师,西安银信博锐信息科技有限公司,4.5-6千/月,2
322,大数据开发工程师,西安润基投资控股有限公司,6-8千/月,3
323,嵌入式软件工程师,西安慧晶智能科技有限公司,0.6-1.5万/月,1
324,智能卡应用开发工程师,盘缠科技股份有限公司,1-1.5万/月,1
325,软件测试工程师,陕西译喵网络科技有限公司,4-8千/月,2
326,初级java工程师,销售易,0.5-1万/月,15
327,车联网Java后台工程师,广州小鹏汽车科技有限公司,1-2万/月,2
328,CAE二次开发工程师,上海奥锐波客软件技术有限公司,0.7-1万/月,2
329,大数据研发工程师（ga-t-20180514-005w),太极计算机股份有限公司,0.8-1.5万/月,若干
330,大数据测试工程师,深圳力维智联技术有限公司,1-2万/月,1
331,Hadoop开发工程师,西安环太科技发展有限公司,5-8千/月,5
332,大数据工程师,北京先进数通信息技术股份公司,4-9千/月,2
333,Python开发工程师（实习生）,陕西速橘丰信息科技有限公司,4.5-6千/月,2
334,Python开发实习生0,陕西养正文化发展有限公司,4.5-6千/月,4
335,python资深开发工程师,陕西速橘丰信息科技有限公司,1-1.5万/月,2
336,开发工程师（python方向）,北京华软金科信息技术有限公司,0.8-1万/月,2
337,Python软件工程师,北京优诺信创科技有限公司,0.6-1万/月,3
338,Python研发工程师 爬虫,西安智推网络科技有限公司,0.8-1.6万/月,5
339,python后台开发工程师,西安智推网络科技有限公司,0.8-1.5万/月,3
340,Python开发工程师,中软国际科技服务有限公司,0.8-1万/月,5
341,资深互联网运维工程师,武汉有戏网络科技有限公司,2-4万/月,5
342,Build & Release Engineer,西安泰为软件有限公司,1.5-2万/月,1
343,Sr. Java  (Map & GIS),西安泰为软件有限公司,1-1.5万/月,1
344,数据库工程师,中通服科信信息技术有限公司,0.8-1万/月,3
345,Java架构师,上海泰然投资控股有限公司,1.5-2万/月,2
346,大数据开发工程师,中软国际科技服务有限公司,1-1.5万/月,2
347,软件测试工程师（西安）,中电长城网际系统应用有限公司,0.8-1万/月,1
348,前端开发人员（西安）,中电长城网际系统应用有限公司,0.8-1万/月,1
349,大数据业务方向--大数据架构师,北京思特奇信息技术股份有限公司陕西分公司,2-2.5万/月,1
350,运营专家(J180807003)(职位编号：J180807003),滴滴出行,1.5-2万/月,1
351,Linux软件工程师,西安三茗科技股份有限公司,0.8-1万/月,若干
352,C/C++高级开发工程师,西安三茗科技股份有限公司,0.8-1.5万/月,若干
353,RD-机器学习工程师（可接收实习生）,TCL集团工业研究院,0.8-1.5万/月,10
354,RD-算法移植优化工程师,TCL集团工业研究院,0.8-1万/月,2
355,立体视觉算法工程师-XA,深圳奥比中光科技有限公司,1.5-3万/月,若干
356,Java高级开发工程师,西安三茗科技股份有限公司,1.2-1.8万/月,若干
357,高级安卓(Android)开发工程师,西安腾营信息科技有限公司,0.9-1.2万/月,2
358,DNS工程师,北京宜选科技股份公司,1-1.8万/月,2
