"id";"jobs";"firms";"salary";"nums"
615;"软件测试工程师";"陕西译喵网络科技有限公司";"4-8千/月";"216"
616;"Python开发工程师";"东方网力科技股份有限公司";"1-2万/月";"122"
617;"PHP软件工程师";"西安英兆软件信息有限责任公司";"4-6千/月";"53"
618;"大数据工程师";"北京先进数通信息技术股份公司";"4-9千/月";"26"
619;"初级软件质量工程师";"西安奥卡云数据科技有限公司";"0.8-1万/月";"58"
620;"高级质量工程师";"西安奥卡云数据科技有限公司";"1.5-2万/月";"44"
621;"高级质量保障工程师";"西安奥卡云数据科技有限公司";"2-2.5万/月";"35"
622;"初级web全栈工程师";"西安奥卡云数据科技有限公司";"0.8-1万/月";"18"
623;"软件测试工程师";"深圳市广和通无线股份有限公司";"0.7-1.4万/月";"316"
624;"算法工程师";"北京华洋宏软件开发有限责任公司";"1-2万/月";"16"
625;"中级算法工程师";"北京华洋宏软件开发有限责任公司";"1-2万/月";"29"
626;"MES应用软件开发工程师";"和利时集团--西安和利时";"0.9-1.5万/月";"31"
627;"大数据开发工程师";"陕西运璟网络科技有限公司";"1.5-2万/月";"34"
628;"大数据开发工程师-西安";"北京小鱼易连科技有限公司";"1-2万/月";"37"
629;"结构仿真咨询专家--西安";"安世亚太科技股份有限公司";"0.8-1.5万/月";"32"
630;"高级运维工程师";"北京北信源软件股份有限公司";"1-1.4万/月";"98"
631;"安全服务顾问（西安）(J11493)";"绿盟科技";"0.8-1.5万/月";"20"
632;"项目经理";"上海云首信息科技有限公司";"1.5-2.5万/月";"81"
633;"高级存储研发工程师";"西安奥卡云数据科技有限公司";"3-4万/月";"17"
634;"存储产品经理";"西安奥卡云数据科技有限公司";"2-2.5万/月";"13"
635;"大数据开发工程师(000669)";"东方网力科技股份有限公司";"1-1.8万/月";"21"
636;"DevOps";"上海云首信息科技有限公司";"1.2-1.6万/月";"17"
637;"Senior QA 高级测试工程师 （工作地点：上海）";"花旗金融信息服务（中国）有限公司Citigroup Services and Technology (China) Limited.";" ";"9"
638;"Java开发工程师";"西安缤纷鸟少儿美术培训中心";"0.5-1万/月";"94"
639;"Developer - SAP HaaS - HANA as a service";"思爱普（中国）有限公司";"10-15万/年";"22"
640;"Senior Developer - SAP HaaS-HANA as a service";"思爱普（中国）有限公司";"15-20万/年";"24"
641;"Cloud DevOps Engineer for the SAP Big Data Team";"思爱普（中国）有限公司";" ";"28"
642;"嵌入式开发高级工程师";"西安思菲特信息科技有限公司";"0.8-1.2万/月";"33"
643;"Software Engineer(Machine Learning)";"西安三星电子研究有限公司";"1-2万/月";"79"
644;"实习生—深度学习方向";"杭州英歌智达科技有限公司";"2.5-5千/月";"33"
645;"大数据开发工程师";"万达信息股份有限公司";"1.5-2万/月";"18"
646;"中级软件工程师";"江苏锐天信息科技有限公司西安分公司";"0.8-1.2万/月";"19"
647;"大数据高级工程师";"蜀海（北京）供应链管理有限责任公司";"1-1.5万/月";"26"
648;"算法高级工程师";"蜀海（北京）供应链管理有限责任公司";"1-2万/月";"43"
649;"（某500强知名企业）Devops架构师";"西安瀚特人力资源有限公司";"2.5-3万/月";"38"
650;"java高级软件工程师";"北京军地联合信息技术研究发展中心（有限合伙）";"0.8-1万/月";"49"
651;"java中级软件工程师";"北京军地联合信息技术研究发展中心（有限合伙）";"1-1.5万/月";"109"
652;"前端开发人员（西安）";"中电长城网际系统应用有限公司";"0.8-1万/月";"53"
653;"软件测试工程师（西安）";"中电长城网际系统应用有限公司";"0.8-1万/月";"459"
654;"㊣㊣ 跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"11"
655;"㊣㊣ 跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"29"
656;"㊣㊣ 跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"8"
657;"跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"15"
658;"㊣㊣ 跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"11"
659;"㊣㊣ 跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"13"
660;"㊣㊣ 跨界 人事主管/招聘专员";"小马股份有限公司西安分公司";"0.5-2.5万/月";"29"
661;"㊣㊣㊣ 服务器安全工程师 ㊣㊣㊣";"小马股份有限公司西安分公司";"0.5-2.5万/月";"18"
662;"㊣㊣㊣ 服务器运维工程师 ㊣㊣㊣";"小马股份有限公司西安分公司";"0.5-2.5万/月";"20"
663;"服务器运维工程师";"小马股份有限公司西安分公司";"0.5-2.5万/月";"48"
664;"服务器安全工程师";"小马股份有限公司西安分公司";"0.5-2.5万/月";"26"
665;"高级系统运维工程师";"中科金审（北京）科技有限公司";"0.7-1.2万/月";"69"
666;"Sr. Java  (Map & GIS)";"西安泰为软件有限公司";"1-1.5万/月";"17"
667;"Build & Release Engineer";"西安泰为软件有限公司";"1.5-2万/月";"10"
668;"SAAS产品经理";"西安因联信息科技有限公司";"1.5-2.5万/月";"18"
669;"大数据算法工程师";"西安易流物联科技有限公司";"1-2万/月";"32"
670;"QA/ 软件测试（功能+自动化）";"西安活跃网络有限公司";"0.9-1.3万/月";"328"
671;"急聘Big Data Lead Engineer";"西安思科特软件有限公司";"2.5-3万/月";"16"
672;"Senior Data Scientist / Machine Engineer";"西安思科特软件有限公司";"1-5万/月";"11"
673;"Data science engineer";"西安思科特软件有限公司";"1-5万/月";"10"
674;"急聘Bigdata Machine learning engineer";"西安思科特软件有限公司";"1-2万/月";"17"
675;"Project Lead";"西安思科特软件有限公司";"1-2万/月";"12"
676;"识别算法工程师";"西安鼎力信息技术有限责任公司";"0.7-1.2万/月";"26"
677;"性能测试工程师";"西安恒谦教育科技股份有限公司";"4.5-6千/月";"33"
678;"算法工程师";"华扬联众数字技术股份有限公司";"1.5-3.5万/月";"57"
679;"软件测试工程师";"郑州信大捷安信息技术股份有限公司";"4-8千/月";"165"
680;"Java开发工程师";"酷渲（北京）科技有限公司";"0.8-1.5万/月";"183"
681;"Software Engineer /软件工程师_DC";"博世力士乐（西安）电子传动与控制有限公司";" ";"32"
682;"软件测试工程师";"西安北科维拓科技有限公司";"7-8千/月";"342"
683;"C/C++开发工程师";"西安栎安科技有限公司";"0.5-1.5万/月";"59"
684;"IT Cloud Solution Architect";"Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司";" ";"51"
685;"大数据架构师";"新华三技术有限公司";"1.5-3万/月";"21"
686;"阿里云事业群-云业务架构师-西安区域";"阿里巴巴集团";" ";"31"
687;"软件测试工程师";"瑞斯康达科技发展股份有限公司";"6-8千/月";"347"
688;"后台网站工程师";"瑞斯康达科技发展股份有限公司";"6-8千/月";"38"
689;"测试工程师";"南京烽火星空通信发展有限公司";"6-8千/月";"180"
690;"Java开发工程师";"东华软件股份公司";"0.8-1.4万/月";"21"
691;"大数据开发工程师";"东华软件股份公司";"0.8-1.4万/月";"23"
692;"运维实施工程师";"东华软件股份公司";" ";"31"
693;"Java开发工程师";"东华软件股份公司";"0.8-1.4万/月";"33"
