"id";"jobs";"firms";"salary";"nums0"
218;"运维技术工程师";"深圳市墨者安全科技有限公司";"0.7-1万/月";"1"
219;"运维工程师/IT专员";"北京恒信凯特经贸有限责任公司";"5.5-6千/月";"若干"
220;"运维客服";"深圳市鸿普森科技股份有限公司";"4.5-6千/月";"1"
221;"项目运维工程师";"深圳英龙华通科技发展有限公司";"4-8千/月";"若干"
222;"运维经理";"成都太能蜗客人力资源管理有限公司";"3-7万/月";"1"
223;"Linux Teste  运维测试";"深圳市金证科技股份有限公司";"1.5-2.4万/月";"3"
224;"运维工程师";"深圳金证引擎科技有限公司";"1-1.8万/月";"2"
225;"运维工程师";"深圳万乘联合投资有限公司";"6-8千/月";"3"
226;"软件运维";"广州市川井企业管理咨询有限公司";"6-8千/月";"若干"
227;"SAP,MM,PP,SD,FICO,ABAP运维实施顾问(深圳，上海)";"全球企业管理咨询（深圳）有限公司";"1.5-2万/月";"若干"
228;"SAP SD 运维岗";"卡士酸奶/绿雪生物工程（深圳）有限公司";"6-8千/月";"1"
229;"高级运维工程师";"深圳法大大网络科技有限公司";"1.5-2.5万/月";"1"
230;"事业单位话务咨询、前台、系统运维";"深圳市才智中南人力资源有限公司";"4.5-6千/月";"10"
231;"运维技术员";"深圳市证通电子股份有限公司";"0.5-1万/月";"若干"
232;"运维工程师";"深圳易天堂网络技术有限公司";"6-8千/月";"若干"
233;"运维专员";"深圳市橙社网络技术有限公司";"6-8千/月";"1"
234;"业务运维工程师（云帆加速）";"深圳市新华云帆科技有限公司";"1-1.5万/月";"5"
235;"系统运维工程师";"深圳市海捷紫华商贸有限公司";"1.4-1.8万/月";"1"
236;"高级运维开发工程师(职位编号：AUKEY001039)";"深圳市傲基电子商务股份有限公司";"1.5-2.5万/月";"1"
237;"运维工程师--技术中心";"深圳市中电数通智慧安全科技股份有限公司";"0.8-1.5万/月";"3"
238;"IT运维经理";"深圳万威科技有限公司";"1.5-2万/月";"1"
239;"桌面运维工程师（罗湖）";"广州蓝色快线信息技术服务有限公司";"4-6千/月";"5"
240;"IT运维工程经理";"深圳市益田集团股份有限公司";"0.8-1万/月";"1"
241;"运维工程师";"深圳合生网络科技有限公司";"1.5-2万/月";"3"
242;"设备运维技术员（水电工）";"深圳市金地楼宇工程有限公司深圳分公司";"6-8千/月";"5"
243;"运维工程师";"深圳门道云数字科技有限公司";"0.6-1.2万/月";"若干"
244;"运维工程师";"北京开科唯识技术有限公司";"0.7-1.4万/月";"3"
245;"驻场运维工程师（工作地点：上海）";"深圳市新思维信息技术有限公司";"6-9千/月";"3"
246;"OTT平台部署运维专员";"深圳感臻科技有限公司";"0.8-1.5万/月";"1"
247;"系统运维工程师";"广州傲程软件技术有限公司";"1-1.4万/月";"4"
248;"系统运维工程师";"深圳盛屯集团有限公司";"0.7-1.5万/月";"1"
249;"运维工程师";"深圳市海源节能科技有限公司";"6-8千/月";"2"
250;"系统运维工程师";"比亚迪股份有限公司";"0.7-1.4万/月";"1"
251;"运维工程师";"深圳黄金投资有限公司";"1-1.5万/月";"1"
252;"运维工程师";"深圳瑞思贝特科技有限公司";"5-7千/月";"1"
253;"桌面运维工程师";"北京银河聚阵网络技术有限公司";"0.6-1万/月";"若干"
254;"系统运维工程师（大数据）";"北京神州新桥科技有限公司";"1.5-2万/月";"1"
255;"驻场运维工程师";"深圳奇迹智慧网络有限公司";"0.7-1万/月";"1"
