"id";"jobs";"firms";"salary";"nums0"
1000;"互联网产品经理";"西安力氪智能科技有限公司";"4.5-6千/月";"5"
1001;"网络维护";"西安医药股份有限公司";"2-3千/月";"2"
1002;"网络维护工程师";"华天科技（西安）有限公司";"4-6千/月";"3"
1003;"软件开发软件测试工程师";"沈阳亚诗达科技有限公司";"0.6-1万/月";"若干"
1004;"数据库工程师";"沈阳亚诗达科技有限公司";"0.8-1万/月";"若干"
1005;"网络工程师网络管理员";"沈阳亚诗达科技有限公司";"6-8千/月";"若干"
1006;"Java中/高级研发（项目经理培养方向）";"北京天融信科技有限公司";"0.7-1.5万/月";"5"
1007;"新媒体运营专员（五险一金）";"西安微媒软件有限公司";"5-8千/月";"3"
1008;"互联网运营专员（双休+五险）";"西安微媒软件有限公司";"5-8千/月";"3"
1009;"新媒体运营专员（双休）";"西安微媒软件有限公司";"5-8千/月";"3"
1010;"外资高级服务工程师";"聚思鸿信息技术服务Concentrix";"0.8-2.5万/月";"20"
1011;"外资服务工程师";"聚思鸿信息技术服务Concentrix";"0.8-1.5万/月";"20"
1012;"IT网络工程师";"聚思鸿信息技术服务Concentrix";"6-8千/月";"1"
1013;"IT网络工程师";"聚思鸿信息技术服务Concentrix";"6-8千/月";"1"
1014;"销售经理";"西安交大捷普网络科技有限公司";"0.8-1万/月";"若干"
1015;"销售部经理";"西安名世信息科技有限公司";"0.6-1万/月";"1"
1016;"云计算产品经理";"上海云首信息科技有限公司";"1.5-2万/月";"若干"
1017;"客服专员";"西安华众电子科技股份有限公司";"4-6千/月";"5"
1018;"售后服务专员";"西安华众电子科技股份有限公司";"4-6千/月";"5"
1019;"机房维护工程师";"西安海润通信技术有限公司";"2-3.5千/月";"2"
1020;"电力专家（西安/总部）";"隆基乐叶光伏科技有限公司";"4-6万/月";"1"
1021;"企划专员";"新百丽鞋业（深圳）有限公司西安分公司";"5-8千/月";"若干"
1022;"售前工程师";"陕西兆通利合数码有限公司";"4.5-6千/月";"2"
1023;"DBA(001894)(职位编号：netposa001894)";"东方网力科技股份有限公司";"1-1.5万/月";"若干"
1024;"数据库实施开发工程师";"大连华信计算机技术股份有限公司";"0.9-1.8万/月";"6"
1025;"大数据开发工程师";"北京华洋宏软件开发有限责任公司";"1-2万/月";"3"
1026;"中级算法工程师";"北京华洋宏软件开发有限责任公司";"1-2万/月";"2"
1027;"算法工程师";"北京华洋宏软件开发有限责任公司";"1-2万/月";"1"
1028;"无责底薪4500+公寓管家+住宿+综合8K";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1029;"无责底薪4500+公寓管家+住宿+综合8K";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1030;"无责底薪4500+公寓管家+住宿";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1031;"底薪4.5K+管家+包住+综合8K";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
1032;"无责底薪4500+门店运营+住宿";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1033;"底薪4.5K+门店运营+包住";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
1034;"包住门店运营+底薪4.5K";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1035;"无责底薪4500+公寓管家+住宿+综合8K";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
1036;"底薪4.5K+管家+包住+综合8K";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
1037;"底薪4.5K+管家+包住+综合8K";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
