"id";"jobs";"salary";"firms";"location";"nums"
1;"赴日驻在员";"1.5-2万/月";"青岛三诚国际经济技术合作有限公司";"青岛-黄岛区";"4"
2;"软件工程师-急招赴日出差（急）";"1.5-2万/月";"大连北溟软件有限公司";"大连";"若干"
3;"樱花国际日语-日本留学顾问(赴日留学背景)";"0.6-1.2万/月";"新世界教育集团";"上海-黄浦区";"3"
4;"数字电路设计高级软件开发工程师赴日本长期出差";"3-6万/月";"伙伴（大连）信息技术有限公司";"大连-高新园区";"若干"
5;"日语营业担当（赴日）";"5-8千/月";"大连铃木研磨贸易有限公司";"大连-金州区";"若干"
6;"高薪诚聘赴日出差软件工程师";"2-2.5万/月";"大连鸿进科技有限公司";"大连-沙河口区";"若干"
7;"高薪诚聘赴日工程师";"2-2.5万/月";"大连育知同创科技有限公司";"大连";"3"
8;"软件工程师（赴日长期出差）";"2-2.5万/月";"大连共兴达信息技术有限公司";"大连-沙河口区";"若干"
9;"赴日软件工程师";"1.5-4万/月";"北京核心软件有限公司";"北京-朝阳区";"若干"
10;"紧急招聘赴日（短期/长期）软件工程师（待遇优厚）";"1.5-2万/月";"沈阳思优科信息技术有限公司";"沈阳-皇姑区";"若干"
11;"赴日BSE/软件工程师";"2.5-3万/月";"大连思玛特科技发展有限公司";"大连-高新园区";"5"
12;"赴日安卓软件开发";"1.5-3万/月";"大连维思创新科技有限公司";"大连";"5"
13;"赴日//对日软件开发实习生";"0.8-1万/月";"沈阳上科树品科技有限公司";"沈阳-沈河区";"若干"
14;"赴日派遣咨询顾问";"4-8千/月";"大连拓中教育科技股份有限公司";"大连";"若干"
15;"赴日Java开发工程师";"0.8-1.5万/月";"大连博创人力资源开发有限公司";"大连-沙河口区";"若干"
16;"赴日软件工程师(职位编号：IDEA-0002)";"1-1.5万/月";"大连爱迪思航科技有限公司";"大连";"5"
17;"赴日Java";"1.5-2万/月";"大连弗斯特科技有限公司";"大连-高新园区";"5"
18;"长期赴日软件工程师（C/C++ ）";"1.4-1.8万/月";"大连艾普迪科技有限公司";"大连-高新园区";"若干"
19;"Blockchain赴日高级软件工程师";"2-3万/月";"大连亚天德商务咨询有限公司";"济南";"2"
20;"赴日软件工程师";"1.5-3万/月";"无锡德望科荣科技系统有限公司";"无锡-滨湖区";"5"
21;"赴日软件开发工程师";"1.5-4万/月";"日立解决方案（中国）有限公司";"杭州";"若干"
22;"亚马逊日本运营/ 赴日出差学习机会";"1.5-2万/月";"深圳市遨途科技有限公司";"深圳-龙岗区";"2"
23;"赴日就职项目经理";"1.5-2万/月";"万宝盛华企业管理咨询（上海）有限公司";"上海-徐汇区";"1"
24;"性能调优工程师（赴日）";"15-20万/年";"南京富士通南大软件技术有限公司";"南京";"1"
25;"赴日开发工程师";"1-1.5万/月";"沈阳焱展信息技术有限公司";"沈阳";"5"
26;"日语生产管理-赴日研修有（佛山南海）";"4.5-6千/月";"深圳市骏楚企业管理咨询有限公司";"佛山-南海区";"1"
27;"赴日/日本酒店/免税店/翻译/总务";"1-1.5万/月";"杭州东忠科技股份有限公司";"杭州";"50"
28;"赴日软件工程师";"1.1-5.5万/月";"沈阳信商科技有限公司";"沈阳-沈河区";"50"
29;"对日软件高级工程师（有赴日工作机会）";"0.6-1万/月";"上海强辰信息技术有限公司";"武汉-洪山区";"10"
30;"赴日开发工程师";"1.5-1.8万/月";"南京迈特望科技股份有限公司";"南京";"若干"
31;"赴日软件开发工程师";"1.5-2万/月";"杭州仁卓软件有限公司";"杭州-滨江区";"若干"
32;"海外日本高级销售代表赴日销售/日语营业(职位编号：0334544)";"0.5-1万/月";"惠州市威普科技有限公司";"惠州";"1"
33;"（赴日）焊接夹具设计工程师";"4-8千/月";"昆山富工智能装备有限公司";"昆山";"1"
34;"赴日BSE/软件开发工程师";"1-1.5万/月";"大连和众信拓科技有限公司";"大连";"5"
35;"赴日销售代表(日语）(职位编号：005)";"6-8千/月";"浙江春芽科技有限公司";"杭州-西湖区";"10"
36;"赴日就业项目经理/主管";"0.8-1.5万/月";"未名天（北京）教育科技有限公司";"北京";"1"
37;"赴日C/C++软件工程师";"1.3-1.8万/月";"慧俊信息科技（上海）有限公司";"上海-静安区";"10"
38;"长期赴日出差工作人员（无需语言要求）(职位编号：66)";"1-1.5万/月";"文雅（大连）留学咨询有限公司";"大连-沙河口区";"若干"
39;"赴日JAVA软件工程师（长期赴日）";"2-4万/月";"大连创盛科技有限公司";"大连-高新园区";"若干"
40;"赴日工程师";"1-1.5万/月";"大连运易科技有限公司";"大连";"5"
41;"赴日IT";"1.5-3万/月";"创译科技（大连）有限公司";"大连-高新园区";"10"
42;"短期日语翻译赴日(编号99830) 日语必须";"5-8千/月";"上海艾杰飞人力资源有限公司";"常熟";"3"
43;"介护组长（赴日方向）";"1-1.5万/月";"成都和思康健投资管理有限公司";"成都-温江区";"若干"
44;"赴日工签（电子电气设计，日语N3相当）";"1.5-2万/月";"大宇宙设计开发（大连）有限公司";"大连-高新园区";"20"
45;"对日开发工程（赴日预备,日语必须）";"3-4.5千/月";"上海敏杰软件有限公司";"上海";"若干"
46;"赴日RPG软件开发工程师";"4.5-6千/月";"大连协泰科技有限公司";"大连-高新园区";"若干"
47;"赴日本缝纫女工数名";"1.5千以下/月";"青岛博力源商贸有限公司";"青岛-崂山区";"20"
48;"赴日精密体检客服经理";"0.8-1万/月";"株式会社日本悠兰";"苏州-工业园区";"1"
49;"嵌入式开发 赴日工作";"1-1.5万/月";"大连众卓云科技服务有限公司";"大连-沙河口区";"2"
50;"赴日java，net，php，sql软件工程师（出差）大连";"2.5-3万/月";"多奥科技（大连）有限公司";"大连";"若干"
51;"赴日JAVA,PHP 嵌入式开发工程师（出差）大连";"1.5-2万/月";"大连华赢通信工程技术服务有限公司";"大连-高新园区";"若干"
52;"赴日_软件工程师（日本）";"1.5-2万/月";"善诚科技发展（上海）有限公司合肥分公司";"合肥";"10"
53;"赴日日语Java开发工程师";"1-3万/月";"上海熠鸿信息技术有限公司";"上海";"20"
54;"赴日技术人才储备（树脂模具）";"3-4.5千/月";"松尾（天津）电子有限公司";"天津-西青区";"2"
55;"赴日软件工程师";"0.6-1.5万/月";"杭州网新新思软件有限公司";"杭州-拱墅区";"10"
56;"赴日软件工程师";"1-1.5万/月";"大连佰思特信息技术有限公司";"大连";"若干"
57;"日语/汽车/外装设计工程师/赴日培训";"1-1.5万/月";"半渡（上海）实业有限公司";"上海";"1"
58;"直招赴日IT技术者";"2-4万/月";"株式会社BCL中国分社";"济南";"10"
59;"高薪，长期赴日出差软件工程师JAVA";"2.5-3万/月";"大连华小讯科技有限公司";"大连-西岗区";"100"
60;"赴日java开发工程师";"1.5-3万/月";"浪潮世科有限公司";"济南";"5"
61;"COBOL开发（长期赴日出差冲绳）";"1.5-2.5万/月";"大连华信计算机技术股份有限公司";"大连";"10"
62;"赴日软件开发工程师（日语必须）(职位编号：879689)";"17-40万/年";"宏图瀛通（广州）人力资源有限公司";"广州";"5"
63;"赴日软件工程师";"1-1.5万/月";"青岛富佳智能科技有限公司";"青岛-黄岛区";"5"
64;"赴日长期出差软件工程师（PG、SE）(职位编号：B001)";"2-2.5万/月";"大连馨天地科技有限公司";"大连-高新园区";"若干"
65;"赴日软件工程师";"1.5-4万/月";"杭州智虎信息科技有限公司";"大连";"10"
66;"聘赴日工作月薪1.3万元";"1-1.5万/月";"重庆天泽出国信息咨询有限公司";"重庆-江北区";"若干"
67;"赴日本介护研修项目";"0.8-1万/月";"辽宁欧美亚经济技术合作有限公司";"沈阳-皇姑区";"40"
68;"健身房门店店员";"5.2-6千/月";"活悦健身咨询（上海）有限公司";"上海-闵行区";"1"
69;"设计担当（2019届应届毕业生）";"4.5-6千/月";"广州斯坦雷电气有限公司";"广州-黄埔区";"若干"
70;"知名日企招聘人事担当（日语）(职位编号：3281)";"4.5-6千/月";"天津市甄智协尔企业管理咨询有限公司";"天津";"1"
71;"美容师学徒";"6-8千/月";"北京昌硕信息技术有限公司";"贵阳";"4"
72;"樱花国际日语-日本留学顾问";"0.8-1万/月";"北京樱花国际日语";"北京-朝阳区";"2"
73;"营销客服";"4.5-6千/月";"魅仕坊（上海）互联网科技有限公司";"上海-静安区";"若干"
74;"结构工程师";"0.6-1万/月";"上海森叶建筑设计有限公司";"上海-浦东新区";"6"
75;"货代销售/提成+五险一金+年底双薪";"4-8千/月";"上海永龙宝国际货物运输代理有限公司深圳分公司";"杭州-下城区";"10"
76;"嵌入式软件工程师";"0.8-1.2万/月";"雅伟士软件技术（福州）有限公司";"福州";"1"
77;"BrSE";"1.5-2万/月";"北京日立北工大信息系统有限公司";"北京-朝阳区";"1"
78;"咨询顾问";"4-5千/月";"西安英兆软件信息有限责任公司";"西安-高新技术产业开发区";"5"
79;"咨询顾问";"4-7千/月";"北京美扩教育咨询有限公司";"西安-长安区";"1"
80;"西餐服务员（工联大厦）";"4.5-6千/月";"无印良品（上海）商业有限公司";"杭州-上城区";"若干"
81;"营业担当/销售";"0.8-1.5万/月";"日世（中国）投资有限公司";"武汉";"2"
82;"博多一幸舍餐厅 服务员";"3-4.5千/月";"广州市一幸舍餐饮有限公司";"广州-天河区";"5"
83;"对日软件开发PM";"0.8-1万/月";"大连山腾科技有限公司";"大连-高新园区";"3"
84;"对日软件工程师（有经验者）(职位编号：002)";"1-1.5万/月";"旭本软件（上海）有限公司";"上海-长宁区";"3"
85;"电气软件工程师";"8-10万/年";"上海村研控制工程有限公司";"上海-静安区";"2"
86;"日语教师";"4.5-6千/月";"大连通远对外劳务合作有限公司";"大连";"若干"
87;"研发助理工程师";"10-20万/年";"京上贸易（上海）有限公司";"上海-宝山区";"3"
88;"销售代表";"3.5-5千/月";"陕西四达全轴承有限公司";"武汉-武昌区";"2"
89;"销售代表";"3.5-5千/月";"陕西四达全轴承有限公司";"兰州";"2"
90;"咨询顾问助理（咨询师助理）";"1-1.5万/月";"邦捷管理咨询（上海）有限公司";"上海-静安区";"3"
91;"储备店长";"3.8-4千/月";"泉盛餐饮（上海）有限公司";"烟台";"3"
92;"日语助理";"6-8千/月";"深圳后象装饰设计工程有限公司湖北分公司";"武汉-武昌区";"2"
93;"销售总监";"1-2万/月";"花馨化妆品（上海）有限公司";"上海-黄浦区";"1"
94;"日语老师";"0.6-1万/月";"广州市晟卓软件科技有限责任公司";"广州-番禺区";"1"
95;"对日/日本项目软件开发工程师/JAVA/前端/.NET/COBOL";"0.4-1万/月";"江苏海隆软件技术有限公司";"南京-鼓楼区";"若干"
96;"技术人员";"4.5-6千/月";"爱发科真空技术（苏州）有限公司";"苏州-工业园区";"2"
97;"日语文员";"3.9-4.6万/年";"河村图文设计（大连）有限公司武汉分公司";"武汉";"11"
98;"糕点研发(职位编号：003)";"1-1.5万/月";"北京京日东大食品有限公司";"北京-顺义区";"1"
99;"日语财务BPO";"4.5-6千/月";"大连东康信息服务有限公司";"大连-高新园区";"若干"
100;"对日C/C++嵌入式软件工程师";"0.8-1.5万/月";"上海裕日软件有限公司";"上海-浦东新区";"3"
101;"营业担当助理(日语)";"3-4.5千/月";"苏州博屋商务服务有限公司";"苏州-高新区";"2"
102;"CAD工程师";"4.5-6千/月";"神府贸易（上海）有限公司";"上海";"2"
103;"日语BPO转IT方向（对日项目）";"4.5-6千/月";"大连东软睿道教育信息服务有限公司";"大连";"5"
104;"SE-大连软件园";"0.8-1万/月";"大连瑞林咨询有限公司";"大连-高新园区";"若干"
105;"机械研发主管";"0.8-1万/月";"广州泽盛机电设备有限公司";"广州";"1"
106;"酒店前台翻译";"1-1.5万/月";"辽宁政通对外劳务经济合作有限公司";"沈阳-沈河区";"50"
107;"JINS眼镜导购/储备干部/加工/验光 （上海太平洋百货）";"4-5万/年";"睛姿商贸（上海）有限公司";"上海-徐汇区";"5"
108;"日语销售/外贸业务员";"3-4.5千/月";"武汉汇朗国际贸易有限公司";"武汉-江汉区";"3"
109;"测试工程师(职位编号：784312348515852)";"0.8-1万/月";"文思海辉技术有限公司Pactera Technology International Limited";"上海";"5"
110;"海外拓展经理";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
111;"急聘C语言开发工程师";"0.8-1万/月";"威英软件（上海）有限公司";"上海-徐汇区";"若干"
112;"(ID67479) 眼镜导购/储备干部";"4-6千/月";"上海任仕达人才服务有限公司";"上海";"若干"
113;"日本语言学院中文老师";"1.2-1.5万/月";"武汉优德科林教育咨询有限公司";"武汉-洪山区";"若干"
114;"机械销售代表 五险一金 双休";"6-12万/年";"南京昭凌精密机械有限公司";"南京-浦口区";"4"
115;"课程销售顾问";"4.5-9千/月";"ABC Cooking Studio";"杭州-下城区";"5"
116;"烘焙工作室顾问";"0.4-1万/月";"艾宝食餐饮管理（上海）有限公司北京朝阳分公司";"北京-朝阳区";"若干"
117;"日本留学咨询顾问";"0.8-1.2万/月";"北京市朝阳区千之叶外国语培训学校";"北京-朝阳区";"4"
118;"日式美发沙龙诚征发型师";"6-8千/月";"Resort Tokyo Hair Salons";"广州-天河区";"若干"
119;"15K+日本留学顾问（深圳）";"10-15万/年";"深圳新世界进修中心";"深圳-福田区";"2"
120;"日语（英语）旅游咨询顾问";"0.6-1万/月";"深圳市樱吉尔国际教育咨询有限公司";"深圳-福田区";"若干"
121;"全职日语教师";"4.5-6千/月";"江苏宏扬秉义教育科技有限公司";"安徽省";"3"
122;"项目经理";"1.3-1.9万/月";"大连必捷必信息技术有限公司";"大连-高新园区";"1"
123;"日本工签   日语营业担当";"0.8-1万/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
124;"日语翻译";"6-8千/月";"希姆通信息技术（上海）有限公司";"上海-长宁区";"1"
125;"电话（网络）招聘专员";"3-8千/月";"大连九鼎联合科技有限公司";"大连";"5"
126;"日本工签    日语营业担当";"1.5-2万/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"10"
127;"对日JAVA软件工程师";"0.7-1.5万/月";"上海新致晟欧软件技术有限公司";"上海-浦东新区";"若干"
128;"对日建筑BIM制图员";"6-8千/月";"大连�]洋设计有限公司";"大连";"若干"
129;"日语翻译";"6-8千/月";"昊佰电子科技（上海）有限公司";"上海-青浦区";"1"
130;"店员/导购（ 福州）";"3.2-3.6千/月";"上海萨莉亚餐饮有限公司";"福州";"5"
131;"对日建筑CAD（钢结构）";"4-6千/月";"大连精石科技有限公司";"大连-中山区";"若干"
132;"日本工作签证--综合销售岗位";"0.8-1.3万/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"10"
133;"对日业务主管/行政事务管理";"9-18万/年";"上海诚美化妆品有限公司";"上海-闵行区";"1"
134;"电商运营专员（日本）";"1-1.5万/月";"上海阿乐乐可工业设计有限公司";"上海";"1"
135;"艺术教育培训业务员（代招）";"0.3-1万/月";"重庆集呐网络科技有限公司";"重庆-渝中区";"若干"
136;"工装夹具设计工程师";"0.5-1万/月";"武汉科姆斯科技有限公司";"武汉-蔡甸区";"1"
137;"2019届对日软件开发实习生";"3-4.5千/月";"无锡智明创发软件有限公司";"无锡";"若干"
138;"高级软件开发工程师（需出差）";"1.2-3.5万/月";"沈阳探路者科技有限公司";"沈阳-铁西区";"20"
139;"逆变器（电机控制器）软件工程师(FAE)";"0.8-1万/月";"武汉光庭信息技术股份有限公司";"武汉";"1"
140;"助理翻译";"4-8千/月";"大连现代高技术集团有限公司";"大连";"1"
141;"销售经理（日本市场）";"0.8-1.2万/月";"上海美瑞实业有限公司";"上海-松江区";"1"
142;"店员/导购（上海）";"3.9-4.6千/月";"外婆家餐饮集团有限公司";"上海";"5"
143;"对日软件工程师";"0.8-1万/月";"大连铭信科技发展有限公司";"大连-高新园区";"5"
144;"物流担当（天津）";"4.5-6千/月";"同方环球（天津）物流有限公司";"天津-滨海新区";"2"
145;"日语担当";"3-6千/月";"南通桑原纺织品检验有限公司";"无锡-惠山区";"1"
146;"市场推广专员（底薪3500+高提成+五险）(职位编号：3)";"6-8千/月";"武汉天空树文化交流有限公司";"武汉-洪山区";"3"
147;"烘焙工作室运营员工";"4.5-6千/月";"河南引尚资商贸有限公司";"郑州-金水区";"若干"
148;"境外事务管理/外联专员/经理助理";"4-8千/月";"浙江中辉煌投资发展有限公司";"杭州";"1"
149;"日语RPA";"1-1.8万/月";"艾宾信息技术开发（上海）有限公司";"上海";"1"
150;"美容师";"2.5-8千/月";"深圳市唯姿贸易有限公司";"广州-番禺区";"若干"
151;"日本留学咨询顾问";"4.5-8千/月";"上海尚普信息咨询有限公司";"上海-普陀区";"3"
152;"店员/营业员/导购（COCODEAL 日系女装 ）";"0.5-1.2万/月";"露妮商贸（上海）有限公司";"上海-徐汇区";"若干"
153;"宠物用品销售";"6-8千/月";"真萌健身管理（上海）有限公司";"上海-黄浦区";"若干"
154;"日本业务经理";"6-8千/月";"仙贝咨询（大连）有限公司";"大连-高新园区";"1"
155;"对日软件工程师（C语言）";"4-6千/月";"济南讯和信息技术有限公司";"济南-高新区";"2"
156;"网络日语教师";"3.5-5千/月";"大连信业达职业培训学校";"大连-甘井子区";"3"
157;"新项目-人事BPO";"5-8千/月";"益德穿梭科技（大连）有限公司";"大连";"5"
158;"美容咨询顾问  8K（会日语）(职位编号：NC180725)";"5-8千/月";"上海恒封密封制品有限公司";"上海";"若干"
159;"日语本地化游戏制作人";"2-3万/月";"上海东方明珠迪尔希文化传媒有限公司";"上海-杨浦区";"若干"
160;"SAP项目Leader（SD/MM）";"1-1.5万/月";"野村综研（北京）系统集成有限公司";"大连";"1"
161;"日语翻译及跟单";"6-8千/月";"汉世（杭州）品牌管理有限公司";"杭州-江干区";"若干"
162;"高薪 日语/日文项目Leader";"1-1.5万/月";"方正宽带网络服务有限公司大连分公司";"大连-高新园区";"1"
163;"日语/日语翻译/日本/电器店/温泉酒店/机场";"1-1.5万/月";"辽宁语嫣商务信息咨询有限公司";"成都-锦江区";"5"
164;"15薪/SAP项目Leader/高级经理";"1-1.5万/月";"大连阿甘科技有限公司";"大连";"2"
165;"对日软件开发工程师";"2-2.5万/月";"创未科技（大连）有限公司网络分公司";"大连-高新园区";"5"
166;"Java开发工程师";"0.6-1.5万/月";"江苏润和软件股份有限公司";"西安";"若干"
167;"体系工程师(职位编号：1)";"6-8千/月";"宁波信远工业集团有限公司";"宁波-江北区";"2"
168;"丸龟制面---店经理";"7-9千/月";"上海东利多餐饮管理有限公司";"广州";"2"
169;"总经理秘书（日语）";"0.6-1.2万/月";"上海瀚威酩轩文化传播有限公司";"上海-静安区";"若干"
170;"高级招聘专员";"4-8千/月";"富士软件科技（山东）有限公司杭州分公司";"济南-高新区";"2"
171;"厨房切配（胡庆余堂药膳餐厅近江新店）";"3-4.5千/月";"杭州胡庆余堂国药号有限公司";"杭州";"3"
172;"对日JAVA软件开发";"0.9-1.6万/月";"北京起鹏科技发展有限公司";"天津-南开区";"5"
173;"日语老师";"3-4.5千/月";"吉林海天国际劳务合作有限公司";"长春-宽城区";"若干"
174;"美容店长";"0.8-1.5万/月";"上海凯拉美容咨询有限公司";"北京-朝阳区";"1"
175;"C/.NET语言软件工程师";"6-8千/月";"讯和创新科技（北京）有限公司";"北京-海淀区";"若干"
176;"管理部部长/人事部长";"1.3-1.5万/月";"天田国际工贸（上海）有限公司";"上海-青浦区";"1"
177;"车载信息娱乐系统开发工程师";"1-1.5万/月";"上海宝宏软件有限公司";"上海";"5"
178;"销售";"4.5-6千/月";"重庆四达全轴承有限责任公司";"重庆-沙坪坝区";"4"
179;"对日软件工程师BSE";"1-1.5万/月";"迈思腾科技（武汉）有限公司";"武汉";"3"
180;"Java中级开发工程师";"0.6-1.5万/月";"长春斯纳欧软件有限公司";"长春";"6"
181;"专员";"4.5-9千/月";"爱发科豪威光电薄膜科技（深圳）有限公司";"深圳-龙华新区";"若干"
182;"营业担当";"4.5-6千/月";"广州芝丘自动化控制设备有限公司";"广州-南沙区";"1"
183;"助理工程师（品质）";"3-4.5千/月";"广州科盈化妆品有限公司";"广州";"5"
184;"软件工程师Java/dotNet(日本出差）";"1.5-3万/月";"大连高仕科技有限公司";"大连-沙河口区";"若干"
185;"总务相关（英语、日语）";"6-8千/月";"滨松光子学商贸（中国）有限公司";"北京";"1"
186;"美容店长";"2-2.5万/月";"大连元智大宗商品贸易有限公司";"大连-中山区";"2"
187;"日语翻译";"4.5-6千/月";"天津科力奥尔工程材料技术有限公司";"天津-南开区";"1"
188;"日语BPO/旅游产品上架/订单处理";"3-5千/月";"北京欧思贝科技有限公司";"济南";"2"
189;"CAD绘图员";"4-6千/月";"艾博科建筑设备设计（深圳）有限公司";"深圳-宝安区";"10"
190;"翻译";"4.5-6千/月";"新纶复合材料科技（常州）有限公司";"常州";"1"
191;"j建筑设计师";"1-1.5万/月";"大连树源科技集团有限公司";"大连";"1"
192;"日本留学咨询顾问";"4-6千/月";"成都一心町教育咨询有限公司";"成都-高新区";"1"
193;"高级软件工程师（日本长期出差）(职位编号：DSL001)";"2-4万/月";"大连赛羚科技有限公司";"大连";"若干"
194;"对日BPO（应届生）";"4-5千/月";"大连成信科技有限公司";"大连-高新园区";"10"
195;"Java，C，.Net软件工程师";"1.5-3万/月";"大连竹易教育科技有限公司";"成都";"若干"
196;"日语教师";"0.3-1万/月";"平成国际教育";"沈阳-沈河区";"若干"
197;"客服专员";"4.5-6千/月";"幸运草电子商务（苏州）有限公司";"苏州-工业园区";"5"
198;"人事助理（会日语）";"4.5-6千/月";"上海威洛工业泵有限公司";"上海";"1"
199;"海外出差的软件开发人员";"1-1.5万/月";"海南纽康信息系统有限公司";"海口";"若干"
200;"日语实习汉语学校前台(职位编号：8)";"2-5千/月";"上海远惠文化传播有限公司";"上海-长宁区";"3"
201;"日语营业助理/软件客户专员";"6-8千/月";"才望子信息技术（上海）有限公司";"上海-长宁区";"1"
202;"国际票务操作专员";"6-8千/月";"北京东游国际旅行社有限公司";"北京-朝阳区";"1"
203;"日语翻译";"6-9千/月";"北京盛诺一家医院管理咨询有限公司";"北京";"2"
204;"转向器技术部-技术担当-日语无锡";"6-8千/月";"上海提浜克企业管理有限公司";"无锡-无锡新区";"1"
205;"美容（美体）师";"5-8千/月";"诗纾雅（上海）美容企业管理有限公司";"深圳-南山区";"4"
206;"日语翻译";"6-8千/月";"牧田（中国）有限公司";"昆山";"2"
207;"Android开发工程师 长期出差(职位编号：005)";"1-3万/月";"西安未都网络科技有限公司";"西安-高新技术产业开发区";"若干"
208;"业务支持（日语）（应届生）";"3-4.5千/月";"松下信息系�y（上海）有限公司";"无锡";"5"
209;"J-Field集团线上对外汉语教师";"30元/小时";"西安交大国际汉语教师西北考试中心";"西安-雁塔区";"10"
210;"日本工签――温泉酒店前台接待年收15万左右）";"1-1.5万/月";"大连新翔教育咨询有限公司";"大连";"20"
211;"广报担当";"6-8千/月";"捷太格特（中国）投资有限公司";"上海-长宁区";"若干"
212;"日语翻译";"3-6千/月";"杭州优灿科技有限公司";"杭州-滨江区";"30"
213;"区域销售总监/销售总监";"6-8千/月";"上海网云信息咨询有限公司";"上海-黄浦区";"若干"
214;"化工实验室技术员（日语）";"5.5-8千/月";"上村化学（上海）有限公司";"苏州-高新区";"1"
215;"日语翻译";"1-1.5万/月";"华峰集团有限公司";"上海-金山区";"1"
216;"担当助理";"3.7-6千/月";"南通优格贸易有限公司";"南通";"5"
217;"护士、护士长(职位编号：yk007)";"3-6千/月";"大连怡康福祉实业有限公司";"大连-中山区";"2"
218;"项目主管（PL）";"1-1.5万/月";"杭州冈山信息科技有限公司";"杭州-滨江区";"2"
219;"招聘对日业务担当";"6-8千/月";"青岛知行国际经济技术合作有限公司";"青岛-城阳区";"3"
220;"软件开发工程师（长期日本出差）";"1.5-3万/月";"大连赛伯信息技术有限公司";"大连";"若干"
221;"日本职业规划师";"4.5-6千/月";"沈阳新干线外国语培训学校";"广州-天河区";"5"
222;"知名日企-销售代表";"5-7千/月";"中智成都签证服务有限公司";"成都";"1"
223;"对日Java开发工程师";"6-8千/月";"智捷融汇（大连）科技有限公司";"大连";"若干"
224;"长期出差日本做开发工作";"1.5-2万/月";"大连久乐科技有限公司";"大连-高新园区";"20"
225;"日语翻译/日语人员";"4.5-9千/月";"广东华智科技有限公司";"广州-黄埔区";"2"
226;"销售工程师";"5-8千/月";"纪州喷码技术（上海）有限公司";"厦门";"若干"
227;"Java高级开发工程师（公积金双休）";"0.8-1.5万/月";"奥奈斯特（宁波）软件技术有限公司";"宁波-鄞州区";"2"
228;"青岛华钟制药有限公司";"3-4.5千/月";"青岛华钟制药有限公司";"青岛-市北区";"若干"
229;"日语翻译-免税店、电信公司、温泉酒店";"1-1.5万/月";"新郑花水木日韩通翻译服务有限公司";"郑州";"20"
230;"日式养老机构介护士";"4.5-6千/月";"广州爱知养老服务有限公司";"中山";"5"
231;"软件工程师  PG / SE / PL / PM(职位编号：999)";"0.3-1.2万/月";"沈阳无限软件开发有限公司";"沈阳";"3"
232;"BPO业务课长";"6-8千/月";"大连合盛信息技术有限公司";"大连-沙河口区";"1"
233;"日本事业部海外驻在员";"4.5-6千/月";"青岛环太出国人员培训学校";"青岛-市南区";"1"
234;"运营岗（需具备日语能力）";"1-1.5万/月";"复星集团健康控股";"上海-徐汇区";"1"
235;"日本各地大型连锁酒店、温泉酒店";"1-1.5万/月";"辽宁华裕境外就业服务有限公司";"沈阳";"若干"
236;"免税店正社员诚聘";"1.5千以下/月";"大连新翔教育咨询有限公司";"大连-沙河口区";"20"
237;"式样";"0.8-1万/月";"商泰软件（上海）有限公司";"上海";"1"
238;"软件工程师（日）";"1-1.5万/月";"大连信兴信息技术有限公司";"大连-高新园区";"10"
239;"对日BPO专员 leader候补";"5-8千/月";"大连信维科技有限公司";"大连";"2"
240;"网络工程师";"4.5-6千/月";"富士软件科技（山东）有限公司";"济南-高新区";"3"
241;"日本（翻译、肋理、文职、销售、酒店）";"1-1.5万/月";"成都世宗学堂教育咨询有限责任公司";"成都-锦江区";"若干"
242;"IT日语助理";"4.5-6千/月";"永旺（中国）投资有限公司";"北京-朝阳区";"若干"
243;"会所经理";"2-2.5万/月";"苏州皇尚健康咨询管理有限公司";"苏州-工业园区";"4"
244;"招聘日语教师";"1-1.5万/月";"北京横竖科技经济交流中心";"北京-朝阳区";"5"
245;"应届毕业生";"4.5-6千/月";"武汉东艺建筑设计有限公司";"武汉";"20"
246;"对日软件开发工程师";"6-8千/月";"共兴达信息技术（沈阳）有限公司";"沈阳-浑南区";"若干"
247;"对日项目经理";"1-1.5万/月";"无锡斑目信息技术有限公司";"无锡";"2"
248;"（日本化检）招聘制品检品员（会日语）";"3-3.5千/月";"上海科恳检验服务有限公司青岛分公司";"青岛-崂山区";"2"
249;"商品专员";"4.5-6千/月";"上海内野贸易有限公司";"上海-长宁区";"1"
250;"日本留学咨询顾问";"6-8千/月";"上海和歌网络科技有限公司";"上海-长宁区";"若干"
251;"高薪日本介护岗位学历不限工签";"1.5-2万/月";"哈尔滨闯行天下境外就业服务有限公司";"哈尔滨";"若干"
252;"IT日语人才（日本）";"1-1.5万/月";"爱思弗耐特信息技术（大连）有限公司";"大连-沙河口区";"若干"
253;"化工工程师";"5.5-7千/月";"杭州优科豪马轮胎有限公司";"杭州-江干区";"3"
254;"营业员";"3-4.5千/月";"大连金淘人力资源有限公司";"大连";"若干"
255;"养老院介护+月薪10000+日本";"1-2万/月";"重庆环岛网络科技有限公司";"重庆-九龙坡区";"5"
256;"水性涂料研发工程师";"4.5-6千/月";"耐涂可精细化工（青岛）有限公司";"青岛-平度市";"5"
257;"测试工程师/Test case designer";"0.8-1.2万/月";"北京爱维森科技有限公司昆山分公司";"昆山";"1"
258;"联通营业厅 导购 营业员 资深 店员 上海/苏州";"6-8千/月";"天阁雅（上海）商贸有限公司";"上海-长宁区";"10"
