"id";"jobs";"salary";"firms";"location";"nums"
988;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
989;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
990;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
991;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
992;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
993;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
994;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
995;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
996;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
997;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
998;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
999;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
1000;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
1001;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
1002;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
1003;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
1004;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
1005;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1006;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1007;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1008;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1009;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1010;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1011;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1012;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1013;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1014;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1015;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1016;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1017;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1018;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
1019;"对日项目组长";"0.8-1万/月";"迈思腾科技（武汉）有限公司";"武汉";"若干"
1020;"对日项目经理";"1-1.5万/月";"迈思腾科技（武汉）有限公司";"武汉";"若干"
1021;"Java中级开发工程师";"0.6-1.5万/月";"长春斯纳欧软件有限公司";"长春";"6"
1022;"Java中级开发工程师";"0.6-1.5万/月";"长春斯纳欧软件有限公司";"长春";"6"
1023;"JAVA中级开发工程师(职位编号：1)";"5-8千/月";"长春斯纳欧软件有限公司";"长春";"10"
1024;"JAVA软件开发工程师(职位编号：1)";"6-8千/月";"长春斯纳欧软件有限公司";"长春";"5"
1025;"对日项目经理（PM）";"15-20万/年";"大连和众信拓科技有限公司";"大连";"若干"
1026;"对日项目组长（TL）";"10-15万/年";"大连和众信拓科技有限公司";"大连";"若干"
1027;"对日java/.net软件工程师（SE）";"10-15万/年";"大连和众信拓科技有限公司";"大连";"若干"
1028;"项目负责人";"0.8-1.6万/月";"爱发科豪威光电薄膜科技（深圳）有限公司";"深圳-南山区";"若干"
1029;"品质专员";"0.6-1万/月";"爱发科豪威光电薄膜科技（深圳）有限公司";"深圳-南山区";"2"
1030;"销售代表(日语）(职位编号：005)";"6-8千/月";"浙江春芽科技有限公司";"杭州-拱墅区";"10"
1031;"电话销售";"3.5-5千/月";"浙江春芽科技有限公司";"杭州-拱墅区";"若干"
1032;"教学产品经理";"1-1.5万/月";"未名天（北京）教育科技有限公司";"北京";"1"
1033;"海外劳务项目主管/经理（日本）";"0.8-1.5万/月";"未名天（北京）教育科技有限公司";"北京";"1"
1034;"日企就业项目经理/主管";"0.8-1.5万/月";"未名天（北京）教育科技有限公司";"北京";"1"
1035;"007-市场营销专员/市场拓展专员(职位编号：007)";"6-8千/月";"广州科盈化妆品有限公司";"广州-天河区";"6"
1036;"002-文案策划(职位编号：002)";"6-8千/月";"广州科盈化妆品有限公司";"广州";"2"
1037;"未名天业务产品经理";"1.2-1.7万/月";"未名天（北京）教育科技有限公司";"北京";"1"
1038;"日语人事BPO";"4.5-6千/月";"大连东康信息服务有限公司";"大连-高新园区";"若干"
1039;"物流担当（非日语）";"4.5-6千/月";"同方环球（天津）物流有限公司";"天津-滨海新区";"2"
1040;"丰田体系物流担当";"4.5-6千/月";"同方环球（天津）物流有限公司";"广州";"2"
1041;"店员/导购（福州）";"3.2-3.8千/月";"外婆家餐饮集团有限公司";"福州";"2"
1042;"店员/导购（厦门）";"3.2-3.8千/月";"外婆家餐饮集团有限公司";"厦门";"2"
1043;"CAD绘图员（急聘）";"4-6千/月";"艾博科建筑设备设计（深圳）有限公司";"深圳-宝安区";"10"
